"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","tail_count_stratum","replications","continuum_band_coverage","any_primary_false_report_rate","reversal_certification_rate","exact_count_certification_rate","derivative_assisted_local_exact_root_certification_rate","derivative_assisted_false_exact_root_report_rate","mean_y_ess_ratio_upper","mean_y_max_share_upper","continuum_band_coverage_denominator","continuum_band_coverage_mcse","continuum_band_coverage_wilson_lower","continuum_band_coverage_wilson_upper","any_primary_false_report_rate_denominator","any_primary_false_report_rate_mcse","any_primary_false_report_rate_wilson_lower","any_primary_false_report_rate_wilson_upper","reversal_certification_rate_denominator","reversal_certification_rate_mcse","reversal_certification_rate_wilson_lower","reversal_certification_rate_wilson_upper","exact_count_certification_rate_denominator","exact_count_certification_rate_mcse","exact_count_certification_rate_wilson_lower","exact_count_certification_rate_wilson_upper","derivative_assisted_local_exact_root_certification_rate_denominator","derivative_assisted_local_exact_root_certification_rate_mcse","derivative_assisted_local_exact_root_certification_rate_wilson_lower","derivative_assisted_local_exact_root_certification_rate_wilson_upper","derivative_assisted_false_exact_root_report_rate_denominator","derivative_assisted_false_exact_root_report_rate_mcse","derivative_assisted_false_exact_root_report_rate_wilson_lower","derivative_assisted_false_exact_root_report_rate_wilson_upper"
"main_final_v003","M034_RARE_NO_ROOT_P01_n250","stress","main_primary","RARE_NO_ROOT_P01",250,250,"absolute","K3","0",161,0,0.683229813664596,0,0,,,0.979812759355426,0.00503354372221493,161,0,0,0.023303960351823,161,0.0366642340474805,0.607813258432423,0.750106408270946,161,0,0,0.023303960351823,161,0,0,0.023303960351823,0,,,,0,,,
"main_final_v003","M035_RARE_NO_ROOT_P01_n500","stress","main_primary","RARE_NO_ROOT_P01",500,500,"absolute","K3","0",17,0,1,0,0,,,0.979950863491577,0.00252384943732702,17,0,1.38777878078145e-17,0.184318135008852,17,0,0.815681864991148,1,17,0,1.38777878078145e-17,0.184318135008852,17,0,1.38777878078145e-17,0.184318135008852,0,,,,0,,,
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,"absolute","K3","0",761,0,0.674113009198423,0,0,,,0.98009043729057,0.0125554208585068,761,0,0,0.00502255568966836,761,0.0169905539199597,0.640009866987313,0.706467166839544,761,0,0,0.00502255568966836,761,0,0,0.00502255568966836,0,,,,0,,,
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,"absolute","K3","0",146,0,1,0,0,,,0.979712750622515,0.00503696339297203,146,0,0,0.0256368220846739,146,0,0.974363177915326,1,146,0,0,0.0256368220846739,146,0,0,0.0256368220846739,0,,,,0,,,
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,"absolute","K3","0",15,0,1,0,0,,,0.979567018538861,0.002527141980241,15,0,2.77555756156289e-17,0.203883301035849,15,0,0.796116698964151,1,15,0,2.77555756156289e-17,0.203883301035849,15,0,2.77555756156289e-17,0.203883301035849,0,,,,0,,,
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,"absolute","K3","0",37,0,0.594594594594595,0,0,,,0.979856788347737,0.0031496789286193,37,0,0,0.0940578258372024,37,0.0807150246694596,0.434859647302294,0.736534818079857,37,0,0,0.0940578258372024,37,0,0,0.0940578258372024,0,,,,0,,,
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,"absolute","K3","0",731,0,1,0,0,,,0.979951314036127,0.0125501895601701,731,0,0,0.00522760219171502,731,0,0.994772397808285,1,731,0,0,0.00522760219171502,731,0,0,0.00522760219171502,0,,,,0,,,
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,"absolute","K1","1",66,0,0.984848484848485,0,0,,,0.0639907322379956,0.391912911664955,66,0,0,0.0550025570135413,66,0.015036292831784,0.919040797379336,0.997320359456018,66,0,0,0.0550025570135413,66,0,0,0.0550025570135413,0,,,,0,,,
"main_final_v003","M030_RARE_EQUAL_P01_n100","stress","main_primary","RARE_EQUAL_P01",100,100,"absolute","K1","1",769,0.981794538361508,0.0182054616384915,0,0,,,0.0640497528065456,0.391930755712491,769,0.00482112047218377,0.96967457270093,0.989124921739648,769,0.00482112047218377,0.0108750782603522,0.0303254272990702,769,0,4.33680868994202e-19,0.00497056514871231,769,0,4.33680868994202e-19,0.00497056514871231,0,,,,0,,,
"main_final_v003","M031_RARE_EQUAL_P01_n250","stress","main_primary","RARE_EQUAL_P01",250,250,"absolute","K1","1",388,0.966494845360825,0.0335051546391753,0,0,,,0.0915735047246999,0.204093311941326,388,0.00913565565557095,0.94352637433614,0.980316654141483,388,0.00913565565557095,0.0196833458585165,0.0564736256638601,388,0,8.67361737988404e-19,0.0098036048361385,388,0,8.67361737988404e-19,0.0098036048361385,0,,,,0,,,
"main_final_v003","M032_RARE_EQUAL_P01_n500","stress","main_primary","RARE_EQUAL_P01",500,500,"absolute","K1","1",74,0.72972972972973,0.256756756756757,0,0,,,0.140810597042511,0.113171934437691,74,0.0516255032405687,0.619087515714335,0.817697720779218,74,0.0507820893911012,0.170977072995659,0.366544441305286,74,0,0,0.049349779396386,74,0,0,0.049349779396386,0,,,,0,,,
"main_final_v003","M033_RARE_NO_ROOT_P01_n100","stress","main_primary","RARE_NO_ROOT_P01",100,100,"absolute","K1","1",764,1,0,0,0,,,0.0641400794328883,0.391563028186891,764,0,0.99499706771943,1,764,0,0,0.00500293228057015,764,0,0,0.00500293228057015,764,0,0,0.00500293228057015,0,,,,0,,,
