"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","successes","denominator","estimate","mcse","wilson_lower","wilson_upper"
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","numerical_outer_contains_all_roots",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","false_outer_report",107,2032,0.0526574803149606,0.00495474947531258,0.0437629631125504,0.0632401917140948
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_localization_applicable",0,2032,0,0,0,0.00188691452571133
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_local_outer_nonempty",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_outer_nonempty",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_touches_left_boundary",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_touches_right_boundary",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_censored_by_window",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_geometry_applicable",0,2032,0,0,0,0.00188691452571133
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_geometry_conditioned_on_continuum_band_coverage",0,2032,0,0,0,0.00188691452571133
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_nonempty_conditional_on_continuum_band_coverage",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_contains_root_conditional_on_continuum_band_coverage",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_touches_K_left_conditional_on_continuum_band_coverage",0,0,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_touches_K_right_conditional_on_continuum_band_coverage",0,0,,,,
