"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","root_collection_applicable_replications","root_collection_joint_isolation_reports","root_collection_joint_isolation_report_rate","root_collection_conditional_replication_denominator","root_collection_error_denominator","root_collection_bias_conditional_on_joint_isolation","root_collection_rmse_conditional_on_joint_isolation","wald_report_rate","wald_applicable_replications","wald_report_count","wald_conditional_coverage","wald_conditional_coverage_denominator","wald_conditional_coverage_count","wald_report_and_cover_rate","wald_report_and_cover_denominator","wald_report_and_cover_count","root_multiplier_report_rate","root_multiplier_applicable_replications","root_multiplier_report_count","root_multiplier_conditional_coverage","root_multiplier_conditional_coverage_denominator","root_multiplier_conditional_coverage_count","root_multiplier_report_and_cover_rate","root_multiplier_report_and_cover_denominator","root_multiplier_report_and_cover_count","source_interval_ids","source_interval_count"
"main_final_v003","M029_LN_HIGH_VARIANCE_n1000","stress","main_primary","LN_HIGH_VARIANCE",1000,1000,"absolute",2032,1976,0.97244094488189,1976,1976,0.0123478973169645,0.204127818477693,0.97244094488189,2032,1976,0.964574898785425,1976,1906,0.937992125984252,2032,1906,0.97244094488189,2032,1976,0.964574898785425,1976,1906,0.937992125984252,2032,1906,"K2;K3",2
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,"absolute",2032,657,0.323326771653543,657,657,-0.054903454880616,0.258724840813279,0.323326771653543,2032,657,1,657,657,0.323326771653543,2032,657,0.323326771653543,2032,657,1,657,657,0.323326771653543,2032,657,"K1;K2;K3",3
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,"absolute",2032,1079,0.531003937007874,1079,1079,-0.0329392875963071,0.259276439684559,0.531003937007874,2032,1079,1,1079,1079,0.531003937007874,2032,1079,0.531003937007874,2032,1079,1,1079,1079,0.531003937007874,2032,1079,"K1;K2;K3",3
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,"absolute",2032,1423,0.700295275590551,1423,1423,-0.0263840325607823,0.2492157016412,0.700295275590551,2032,1423,1,1423,1423,0.700295275590551,2032,1423,0.700295275590551,2032,1423,1,1423,1423,0.700295275590551,2032,1423,"K1;K2;K3",3
"main_final_v003","M039_RARE_CROSSING_P01_n1000","stress","main_primary","RARE_CROSSING_P01",1000,1000,"absolute",2032,1731,0.851870078740158,1731,1731,-0.0202265909060784,0.231444621689776,0.851870078740158,2032,1731,1,1731,1731,0.851870078740158,2032,1731,0.851870078740158,2032,1731,1,1731,1731,0.851870078740158,2032,1731,"K1;K2;K3",3
"main_final_v003","M042_TWO_ROOT_n500","stress","main_primary","TWO_ROOT",500,500,"absolute",2032,77,0.0378937007874016,77,154,-0.0694558998038146,0.252299111630744,0.0378937007874016,2032,77,1,77,77,0.0378937007874016,2032,77,0.0378937007874016,2032,77,1,77,77,0.0378937007874016,2032,77,"K3",1
"main_final_v003","M043_TWO_ROOT_n1000","stress","main_primary","TWO_ROOT",1000,1000,"absolute",2032,113,0.0556102362204724,113,226,-0.0454154077994151,0.218150611861769,0.0556102362204724,2032,113,1,113,113,0.0556102362204724,2032,113,0.0556102362204724,2032,113,1,113,113,0.0556102362204724,2032,113,"K3",1
"main_final_v003","M044_PARETO_n250","stress","main_primary","PARETO",250,250,"absolute",2032,664,0.326771653543307,664,664,-0.0299261775376432,0.271823434036938,0.326771653543307,2032,664,1,664,664,0.326771653543307,2032,664,0.326771653543307,2032,664,1,664,664,0.326771653543307,2032,664,"K1;K2;K3",3
"main_final_v003","M045_PARETO_n500","stress","main_primary","PARETO",500,500,"absolute",2032,891,0.438484251968504,891,891,-0.0315562690614784,0.2683167855097,0.438484251968504,2032,891,1,891,891,0.438484251968504,2032,891,0.438484251968504,2032,891,1,891,891,0.438484251968504,2032,891,"K1;K2;K3",3
"main_final_v003","M046_PARETO_n1000","stress","main_primary","PARETO",1000,1000,"absolute",2032,1172,0.576771653543307,1172,1172,-0.0190530602361765,0.25794697708019,0.576771653543307,2032,1172,1,1172,1172,0.576771653543307,2032,1172,0.576771653543307,2032,1172,1,1172,1172,0.576771653543307,2032,1172,"K1;K2;K3",3
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,"absolute",2032,1071,0.527066929133858,1071,1071,-0.0034645769789648,0.262965356948773,0.527066929133858,2032,1071,1,1071,1071,0.527066929133858,2032,1071,0.527066929133858,2032,1071,1,1071,1071,0.527066929133858,2032,1071,"K1;K2;K3",3
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,"absolute",2032,791,0.389271653543307,791,791,-0.0272105365199231,0.219586003496912,0.389271653543307,2032,791,1,791,791,0.389271653543307,2032,791,0.389271653543307,2032,791,1,791,791,0.389271653543307,2032,791,"K1;K2;K3",3
"main_final_v003","M052_TWO_ROOT_SV_POWER_n2000","power","main_primary","TWO_ROOT_SV_POWER",2000,2000,"absolute",2032,1872,0.921259842519685,1872,3744,0.00463090288204455,0.123333685821771,0.921259842519685,2032,1872,0.971688034188034,1872,1819,0.895177165354331,2032,1819,0.921259842519685,2032,1872,0.984508547008547,1872,1843,0.906988188976378,2032,1843,"K3",1
"main_final_v003","M053_TWO_ROOT_SV_POWER_n4000","power","main_primary","TWO_ROOT_SV_POWER",4000,4000,"absolute",2032,2000,0.984251968503937,2000,4000,0.00154421893412474,0.105184087670736,0.984251968503937,2032,2000,0.942,2000,1884,0.927165354330709,2032,1884,0.984251968503937,2032,2000,0.961,2000,1922,0.945866141732283,2032,1922,"K3",1
"main_final_v003","M054_TWO_ROOT_SV_POWER_n8000","power","main_primary","TWO_ROOT_SV_POWER",8000,8000,"absolute",2032,2030,0.999015748031496,2030,4060,0.000618897604954094,0.0748594399933148,0.999015748031496,2032,2030,0.940394088669951,2030,1909,0.939468503937008,2032,1909,0.999015748031496,2032,2030,0.958128078817734,2030,1945,0.957185039370079,2032,1945,"K3",1
"main_final_v003","M009_MIXED_SIGN_n100","benchmark","main_primary","MIXED_SIGN",100,100,"signed",2032,443,0.218011811023622,443,443,-0.0507835494426754,0.258429964204148,0.218011811023622,2032,443,1,443,443,0.218011811023622,2032,443,0.218011811023622,2032,443,1,443,443,0.218011811023622,2032,443,"K1;K2;K3",3
"main_final_v003","M010_MIXED_SIGN_n250","benchmark","main_primary","MIXED_SIGN",250,250,"signed",2032,603,0.296751968503937,603,603,-0.0220141338878628,0.256210966073285,0.296751968503937,2032,603,1,603,603,0.296751968503937,2032,603,0.296751968503937,2032,603,1,603,603,0.296751968503937,2032,603,"K1;K2;K3",3
