"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","root_id","true_root","applicable_successful_replications","joint_isolation_replications","finite_error_replications","joint_isolation_report_rate","bias_conditional_on_joint_isolation","rmse_conditional_on_joint_isolation","rmse_mcse_conditional_on_joint_isolation","error_sd_conditional_on_joint_isolation","bias_mcse_conditional_on_joint_isolation","error_q05_conditional_on_joint_isolation","error_q50_conditional_on_joint_isolation","error_q95_conditional_on_joint_isolation","source_interval_ids","source_interval_count"
"main_final_v003","M011_LN_MODERATE_n100","power","main_primary","LN_MODERATE",100,100,"absolute","Q_LN",1.33333333333333,2032,1071,1071,0.527066929133858,-0.00132193869810779,0.32257932525204,0.00451119996621898,0.322727318104906,0.00986145491522375,-0.514891036533316,0.00868648219058943,0.495425142594675,"K2;K3",2
"main_final_v003","M012_LN_MODERATE_n250","power","main_primary","LN_MODERATE",250,250,"absolute","Q_LN",1.33333333333333,2032,1516,1516,0.746062992125984,-0.00975842433834774,0.295292729114053,0.00390056343191819,0.295228830683857,0.00758244320117523,-0.49270555573677,-0.0108200312053162,0.47160621851335,"K2;K3",2
"main_final_v003","M013_LN_MODERATE_n500","power","main_primary","LN_MODERATE",500,500,"absolute","Q_LN",1.33333333333333,2032,1805,1805,0.888287401574803,-0.0065156932313353,0.280408148779545,0.0035070932348691,0.28041012442624,0.00660016947153945,-0.46195934653451,-0.00736623324503527,0.452956645788649,"K2;K3",2
"main_final_v003","M014_LN_MODERATE_n1000","power","main_primary","LN_MODERATE",1000,1000,"absolute","Q_LN",1.33333333333333,2032,1974,1974,0.971456692913386,-0.00674996686962322,0.231164872968729,0.00320867871327707,0.231124852808104,0.00520203264699182,-0.38225770161887,-0.0153107829545933,0.400826409295002,"K2;K3",2
"main_final_v003","M015_LN_WEAK_n100","power","main_primary","LN_WEAK",100,100,"absolute","Q_LN",1.33333333333333,2032,390,390,0.191929133858268,-0.0515942489737577,0.335853320931976,0.00735919806156309,0.332292960049149,0.0168263081023267,-0.541730566376944,-0.0740549994518356,0.477281766952226,"K2;K3",2
"main_final_v003","M016_LN_WEAK_n250","power","main_primary","LN_WEAK",250,250,"absolute","Q_LN",1.33333333333333,2032,486,486,0.239173228346457,-0.0292836131354724,0.317933383607865,0.00692074096197652,0.316908116109652,0.0143752440706543,-0.529483789866169,-0.0195458335732421,0.484500612867127,"K2;K3",2
"main_final_v003","M017_LN_WEAK_n500","power","main_primary","LN_WEAK",500,500,"absolute","Q_LN",1.33333333333333,2032,593,593,0.291830708661417,-0.0603535493491564,0.331343056990826,0.00616825875091187,0.326075099656609,0.0133902994396221,-0.540846609217425,-0.0860960814004141,0.472826869046788,"K2;K3",2
"main_final_v003","M018_LN_WEAK_n1000","power","main_primary","LN_WEAK",1000,1000,"absolute","Q_LN",1.33333333333333,2032,775,775,0.381397637795276,-0.0617224120085553,0.320526521299909,0.00541246983514538,0.314730691452754,0.0113054601790935,-0.530388285197814,-0.0744867456858358,0.471161763774256,"K2;K3",2
"main_final_v003","M027_LN_HIGH_VARIANCE_n250","stress","main_primary","LN_HIGH_VARIANCE",250,250,"absolute","Q_LN",1.33333333333333,2032,1579,1579,0.777066929133858,-0.0316058913455124,0.285884817448591,0.00386283316016523,0.284222372331794,0.00715265363644922,-0.486220102179547,-0.0406838005368908,0.459531331414382,"K2;K3",2
"main_final_v003","M028_LN_HIGH_VARIANCE_n500","stress","main_primary","LN_HIGH_VARIANCE",500,500,"absolute","Q_LN",1.33333333333333,2032,1834,1834,0.90255905511811,-0.00659605003116082,0.251152954608078,0.00342831419218227,0.251134799121087,0.00586417916125748,-0.396868651714374,-0.0233861388703185,0.438652146149526,"K2;K3",2
"main_final_v003","M029_LN_HIGH_VARIANCE_n1000","stress","main_primary","LN_HIGH_VARIANCE",1000,1000,"absolute","Q_LN",1.33333333333333,2032,1976,1976,0.97244094488189,0.0123478973169645,0.204127818477693,0.0030641764034763,0.203805584598984,0.00458482337957853,-0.297106235473354,-0.000755254780252735,0.379608329898367,"K2;K3",2
"main_final_v003","M019_RARE_CROSSING_P05_n100","power","main_primary","RARE_CROSSING_P05",100,100,"absolute","Q_P1",1,2032,1445,1445,0.711122047244094,-0.0135949079833992,0.252906620077648,0.00336505945564431,0.252628390743936,0.00664581476176257,-0.425994295699894,-0.0179391728714109,0.39259953267008,"K1;K2;K3",3
"main_final_v003","M020_RARE_CROSSING_P05_n250","power","main_primary","RARE_CROSSING_P05",250,250,"absolute","Q_P1",1,2032,1830,1830,0.900590551181102,-0.00415666429063499,0.21618065879068,0.00291061921571977,0.216199772526103,0.00505393541623178,-0.372647174117267,-0.00152843732684849,0.353257766618282,"K1;K2;K3",3
"main_final_v003","M021_RARE_CROSSING_P05_n500","power","main_primary","RARE_CROSSING_P05",500,500,"absolute","Q_P1",1,2032,1992,1992,0.980314960629921,0.0036646803932975,0.178645283667424,0.00255538830583178,0.178652539721727,0.00400280586510092,-0.289874155316055,0.00351362765580387,0.307414011645019,"K1;K2;K3",3
"main_final_v003","M022_RARE_CROSSING_P05_n1000","power","main_primary","RARE_CROSSING_P05",1000,1000,"absolute","Q_P1",1,2032,2029,2029,0.998523622047244,0.00414342006397562,0.136071428523085,0.00217300804994817,0.136041858129373,0.00302017098952357,-0.210721876523793,-0.000690385432541518,0.228368507344425,"K1;K2;K3",3
"main_final_v003","M036_RARE_CROSSING_P01_n100","stress","main_primary","RARE_CROSSING_P01",100,100,"absolute","Q_P1",1,2032,657,657,0.323326771653543,-0.054903454880616,0.258724840813279,0.00509502734405599,0.253024898483484,0.00987144146256383,-0.451471302015483,-0.0644688129976392,0.368901599406302,"K1;K2;K3",3
"main_final_v003","M037_RARE_CROSSING_P01_n250","stress","main_primary","RARE_CROSSING_P01",250,250,"absolute","Q_P1",1,2032,1079,1079,0.531003937007874,-0.0329392875963071,0.259276439684559,0.00392029509890801,0.257294829322324,0.00783285949417103,-0.444081594002247,-0.0369142772123217,0.38882570082128,"K1;K2;K3",3
"main_final_v003","M038_RARE_CROSSING_P01_n500","stress","main_primary","RARE_CROSSING_P01",500,500,"absolute","Q_P1",1,2032,1423,1423,0.700295275590551,-0.0263840325607823,0.2492157016412,0.00344750559390097,0.247902271220118,0.00657170493446512,-0.439634957463443,-0.0349083951666951,0.386372163236737,"K1;K2;K3",3
"main_final_v003","M039_RARE_CROSSING_P01_n1000","stress","main_primary","RARE_CROSSING_P01",1000,1000,"absolute","Q_P1",1,2032,1731,1731,0.851870078740158,-0.0202265909060784,0.231444621689776,0.00301246511360058,0.230625724512374,0.00554318296792216,-0.400806123644113,-0.0183136512890458,0.359957045607269,"K1;K2;K3",3
"main_final_v003","M044_PARETO_n250","stress","main_primary","PARETO",250,250,"absolute","Q_P1",1,2032,664,664,0.326771653543307,-0.0299261775376432,0.271823434036938,0.00497111554081142,0.27037473497366,0.0104925746343758,-0.456579382645935,-0.0334451249912381,0.394972941699624,"K1;K2;K3",3
"main_final_v003","M045_PARETO_n500","stress","main_primary","PARETO",500,500,"absolute","Q_P1",1,2032,891,891,0.438484251968504,-0.0315562690614784,0.2683167855097,0.00430087166944078,0.266604336825987,0.00893158134074069,-0.448750113879144,-0.0322597609773279,0.40786201363802,"K1;K2;K3",3
"main_final_v003","M046_PARETO_n1000","stress","main_primary","PARETO",1000,1000,"absolute","Q_P1",1,2032,1172,1172,0.576771653543307,-0.0190530602361765,0.25794697708019,0.00366333958766688,0.257352159955743,0.00751733685834835,-0.435587698690444,-0.0201363420918583,0.392068383225948,"K1;K2;K3",3
"main_final_v003","M047_RARE_CROSSING_P01_nx100_ny400","stress","main_primary","RARE_CROSSING_P01",100,400,"absolute","Q_P1",1,2032,1071,1071,0.527066929133858,-0.0034645769789648,0.262965356948773,0.00377982439466961,0.263065374649992,0.00803838778539369,-0.423754653045535,-0.00344365644007949,0.407941472326219,"K1;K2;K3",3
"main_final_v003","M048_RARE_CROSSING_P01_nx400_ny100","stress","main_primary","RARE_CROSSING_P01",400,100,"absolute","Q_P1",1,2032,791,791,0.389271653543307,-0.0272105365199231,0.219586003496912,0.00492333428527342,0.218031414849852,0.00775230464990026,-0.434622048464417,-0.000915719904005297,0.306942776936293,"K1;K2;K3",3
"main_final_v003","M009_MIXED_SIGN_n100","benchmark","main_primary","MIXED_SIGN",100,100,"signed","Q_P1",1,2032,443,443,0.218011811023622,-0.0507835494426754,0.258429964204148,0.00589181937718041,0.253677634776487,0.0120525881549167,-0.431917433251739,-0.0644839419648051,0.369406170577109,"K1;K2;K3",3
"main_final_v003","M010_MIXED_SIGN_n250","benchmark","main_primary","MIXED_SIGN",250,250,"signed","Q_P1",1,2032,603,603,0.296751968503937,-0.0220141338878628,0.256210966073285,0.00489731388262505,0.255475390816592,0.0104037621809243,-0.410068132166863,-0.0420428684309126,0.39882180981338,"K1;K2;K3",3
"main_final_v003","M025_TWO_ROOT_STRONG_n500","stress","main_primary","TWO_ROOT_STRONG",500,500,"absolute","Q1",1,2032,136,136,0.0669291338582677,-0.052494878882345,0.241126378047812,0.0106464906472688,0.236212798472455,0.0202550803652893,-0.427224174840003,-0.0257704619377851,0.306510625294596,"K3",1
"main_final_v003","M026_TWO_ROOT_STRONG_n1000","stress","main_primary","TWO_ROOT_STRONG",1000,1000,"absolute","Q1",1,2032,221,221,0.108759842519685,-0.0880272690275204,0.240019091681618,0.00831212975894244,0.223801256249102,0.0150545016340968,-0.434562723152339,-0.112220899672807,0.325064580343664,"K3",1
"main_final_v003","M042_TWO_ROOT_n500","stress","main_primary","TWO_ROOT",500,500,"absolute","Q1",1,2032,77,77,0.0378937007874016,-0.159100547631898,0.292443092099848,0.0149571960871316,0.2469862636078,0.028146696978357,-0.476511991343796,-0.20479481420368,0.332857884570658,"K3",1
"main_final_v003","M043_TWO_ROOT_n1000","stress","main_primary","TWO_ROOT",1000,1000,"absolute","Q1",1,2032,113,113,0.0556102362204724,-0.0956356246887714,0.242649810741847,0.0123794025459197,0.224001786656001,0.021072315526251,-0.449659638284743,-0.0962794417217372,0.277498417458236,"K3",1
"main_final_v003","M052_TWO_ROOT_SV_POWER_n2000","power","main_primary","TWO_ROOT_SV_POWER",2000,2000,"absolute","Q1",0.75,2032,1872,1872,0.921259842519685,0.000761893293796481,0.083355810366782,0.00133694591384631,0.0833746001764932,0.0019269961282542,-0.119874153760672,-0.00735607827901841,0.149759016906023,"K3",1
