"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_scope","configured_interval_ids","configured_interval_count","expected_replications","successful_replications","complete_interval_replications","missing_component_replications","failed_or_missing_unit_replications","across_interval_joint_construction_grid_band_coverage","across_interval_joint_audit_grid_band_coverage","across_interval_joint_continuum_band_coverage","across_interval_joint_any_primary_false_report_rate"
"main_final_v003","M022_RARE_CROSSING_P05_n1000","power","main_primary","RARE_CROSSING_P05",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.940452755905512,0.940452755905512,0.940452755905512,0.0413385826771654
"main_final_v003","M023_TANGENCY_STRONG_n500","stress","main_primary","TANGENCY_STRONG",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.946850393700787,0.946850393700787,0.946850393700787,0.0369094488188976
"main_final_v003","M024_TANGENCY_STRONG_n1000","stress","main_primary","TANGENCY_STRONG",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K1",1,2032,2032,2032,0,0,0.949311023622047,0.949311023622047,0.949311023622047,0.0339566929133858
"main_final_v003","M025_TWO_ROOT_STRONG_n500","stress","main_primary","TWO_ROOT_STRONG",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.948818897637795,0.948818897637795,0.948818897637795,0.0398622047244094
"main_final_v003","M026_TWO_ROOT_STRONG_n1000","stress","main_primary","TWO_ROOT_STRONG",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K3",1,2032,2032,2032,0,0,0.948818897637795,0.948818897637795,0.948326771653543,0.0413385826771654
"main_final_v003","M027_LN_HIGH_VARIANCE_n250","stress","main_primary","LN_HIGH_VARIANCE",250,250,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.764763779527559,0.764763779527559,0.764763779527559,0.0511811023622047
"main_final_v003","M028_LN_HIGH_VARIANCE_n500","stress","main_primary","LN_HIGH_VARIANCE",500,500,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.800688976377953,0.800688976377953,0.800688976377953,0.0374015748031496
"main_final_v003","M029_LN_HIGH_VARIANCE_n1000","stress","main_primary","LN_HIGH_VARIANCE",1000,1000,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.831692913385827,0.831692913385827,0.831692913385827,0.0349409448818898
"main_final_v003","M030_RARE_EQUAL_P01_n100","stress","main_primary","RARE_EQUAL_P01",100,100,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.959153543307087,0.959153543307087,0.958169291338583,0.0408464566929134
"main_final_v003","M031_RARE_EQUAL_P01_n250","stress","main_primary","RARE_EQUAL_P01",250,250,"absolute","ALL_CONFIGURED_INTERVALS","K1;K2;K3",3,2032,2032,2032,0,0,0.952263779527559,0.952263779527559,0.952263779527559,0.0477362204724409
