"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","rows","finite","missing","positive_infinite","negative_infinite","mean","sd","mean_mcse","q05","q50","q95"
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_depth_limit_maximum_cell_width",2032,2032,0,0,0,9.13124384854256e-08,9.40117025413065e-07,2.08554740528299e-08,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_node_limit_cells",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_node_limit_total_width",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_node_limit_width_proportion",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_node_limit_maximum_cell_width",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_variance_limit_cells",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_variance_limit_total_width",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_variance_limit_width_proportion",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_variance_limit_maximum_cell_width",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_statistical_limit_cells",2032,2032,0,0,0,2.17814960629921,41.6781973794554,0.924585493634735,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_statistical_limit_total_width",2032,2032,0,0,0,2.1270992249016e-05,0.000407013646283744,9.0291552112767e-06,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_statistical_limit_width_proportion",2032,2032,0,0,0,1.70167937992128e-05,0.000325610917026995,7.22332416902136e-06,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","enclosure_statistical_limit_maximum_cell_width",2032,2032,0,0,0,9.13124384854256e-08,9.40117025413065e-07,2.08554740528299e-08,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","certified_alternation_count",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","bracket_count",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","bracket_length",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","numerical_outer_component_count",2032,2032,0,0,0,0.96259842519685,0.189790472868917,0.00421029528813491,1,1,1
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","numerical_outer_total_length",2032,2032,0,0,0,1.19423263910249,0.25035774154256,0.00555391429101268,1.0849072265625,1.25,1.25
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","numerical_outer_retained_proportion",2032,2032,0,0,0,0.955386111281988,0.200286193234048,0.00444313143281014,0.86792578125,1,1
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","numerical_outer_hausdorff",2032,76,0,1956,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_local_outer_total_length",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_scaled_outer_radius",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_scaled_outer_hausdorff",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_outer_total_length",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_scaled_outer_radius",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_truncated_local_scaled_outer_hausdorff",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_component_count_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_total_length_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_hausdorff_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_left_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_outer_right_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_outer_total_length_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_outer_hausdorff_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_outer_left_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_outer_right_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_root_component_left_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_root_component_right_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_root_component_length_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_root_component_left_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_root_component_right_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_root_component_length_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_root_component_left_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","tangency_global_scaled_root_component_right_radius_conditional_on_continuum_band_coverage",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","empirical_root_count",2032,2032,0,0,0,0,0,0,0,0,0
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","root_isolation_maximum_bisections",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","root_error_conditional_on_isolation",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_hat",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","variance_at_root_hat",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","root_standard_error",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","wald_length",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","wald_collection_bias_conditional_on_isolation",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","wald_collection_rmse_conditional_on_isolation",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","wald_collection_total_length",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","root_multiplier_critical_value",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","root_multiplier_total_length",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_critical_value",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_critical_value_ratio",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_value_maximum_half_width",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_derivative_maximum_half_width",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_value_width_inflation",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_guard_minimum_ratio",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_guard_minimum_ratio_d0",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_guard_minimum_ratio_d1",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_guard_nodes_used",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_guard_maximum_level",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_value_enclosure_nodes_used",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_derivative_enclosure_nodes_used",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_value_unresolved_cells",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_derivative_unresolved_cells",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_value_variance_unresolved_cells",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_derivative_variance_unresolved_cells",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_certificate_count",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_covariance_01_min",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_covariance_01_max",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_correlation_01_min",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","derivative_assisted_correlation_01_max",2032,0,2032,0,0,,,,,,
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_ess_ratio_p1",2032,2032,0,0,0,0.961730463725672,0.00824542191281873,0.000182915720180549,0.947396539122178,0.962562419561585,0.973722802122651
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_ess_ratio_p1",2032,2032,0,0,0,0.961669358123854,0.00780320547981827,0.000173105629420706,0.948150804138294,0.962373055458014,0.973320002814222
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_max_share_p1",2032,2032,0,0,0,0.0308718231842401,0.00275366003712035,6.1086953966444e-05,0.0271237843176846,0.0304426981051128,0.0357463976436462
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_max_share_p1",2032,2032,0,0,0,0.0308545351943405,0.00268141548064528,5.94842870299932e-05,0.0272120469697293,0.0304557535622951,0.0357970332569584
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_top1pct_share_p1",2032,2032,0,0,0,0.0308718231842401,0.00275366003712035,6.1086953966444e-05,0.0271237843176846,0.0304426981051128,0.0357463976436462
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_top1pct_share_p1",2032,2032,0,0,0,0.0308545351943405,0.00268141548064528,5.94842870299932e-05,0.0272120469697293,0.0304557535622951,0.0357970332569584
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_ess_ratio_upper",2032,2032,0,0,0,0.916407194823666,0.018492615540668,0.000410238569403534,0.883631248689426,0.918518425487808,0.942739779047515
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_ess_ratio_upper",2032,2032,0,0,0,0.916270819729871,0.0175791809890626,0.000389975017021217,0.885187438308893,0.918046269077424,0.94189221629414
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_max_share_upper",2032,2032,0,0,0,0.037898371758558,0.00508452639058977,0.000112794689749696,0.0312476407318805,0.037038987496302,0.0469516974316609
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_max_share_upper",2032,2032,0,0,0,0.0378611796183385,0.00493595133070096,0.000109498713586466,0.0313864327480538,0.0370992428147805,0.0469204356733146
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_top1pct_share_upper",2032,2032,0,0,0,0.037898371758558,0.00508452639058977,0.000112794689749696,0.0312476407318805,0.037038987496302,0.0469516974316609
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_top1pct_share_upper",2032,2032,0,0,0,0.0378611796183385,0.00493595133070096,0.000109498713586466,0.0313864327480538,0.0370992428147805,0.0469204356733146
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_count_above_q95",2032,2032,0,0,0,2.47883858267717,1.5110116180312,0.033520149876584,0,2,5
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_count_above_q95",2032,2032,0,0,0,2.5132874015748,1.59078483027935,0.0352898318557198,0,2,5
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","x_count_above_q99",2032,2032,0,0,0,0.498031496062992,0.707973900516837,0.0157056312280083,0,0,2
"M001_LN_EQUAL_n50","benchmark","main_primary","LN_EQUAL",50,50,"absolute","K1","y_count_above_q99",2032,2032,0,0,0,0.515255905511811,0.741778196382733,0.0164555427775791,0,0,2
