"study_id","cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_scope","configured_interval_ids","metric","successes","denominator","estimate","mcse","wilson_lower","wilson_upper"
"enclosure_depth_v001","ED1_005_TANGENCY_SV_POWER_n8000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_any_primary_false_report",10,254,0.0393700787401575,0.01220237417846,0.0215232688001508,0.0709423064790899
"enclosure_depth_v001","ED1_006_TANGENCY_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_grid",241,254,0.948818897637795,0.0138270528403126,0.914415573030546,0.969848738235835
"enclosure_depth_v001","ED1_006_TANGENCY_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_band_covers_truth_on_audit_grid",241,254,0.948818897637795,0.0138270528403126,0.914415573030546,0.969848738235835
"enclosure_depth_v001","ED1_006_TANGENCY_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_continuum_band_covers_truth",240,254,0.94488188976378,0.0143192101792767,0.909620805893771,0.966886800887817
"enclosure_depth_v001","ED1_006_TANGENCY_SV_POWER_n8000_depth8_refined","diagnostic","depth8_refined","TANGENCY_SV_POWER",8000,8000,"absolute","ALL_CONFIGURED_INTERVALS","K1","across_interval_joint_any_primary_false_report",10,254,0.0393700787401575,0.01220237417846,0.0215232688001508,0.0709423064790899
"enclosure_depth_v001","ED1_007_TWO_ROOT_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_grid",245,254,0.964566929133858,0.0115998860222368,0.934042581122305,0.981248548083247
"enclosure_depth_v001","ED1_007_TWO_ROOT_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_audit_grid",245,254,0.964566929133858,0.0115998860222368,0.934042581122305,0.981248548083247
"enclosure_depth_v001","ED1_007_TWO_ROOT_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_continuum_band_covers_truth",245,254,0.964566929133858,0.0115998860222368,0.934042581122305,0.981248548083247
"enclosure_depth_v001","ED1_007_TWO_ROOT_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_any_primary_false_report",7,254,0.0275590551181102,0.0102718086790882,0.0134124312501783,0.0557830305746839
"enclosure_depth_v001","ED1_008_TWO_ROOT_SV_POWER_n2000_depth8_refined","diagnostic","depth8_refined","TWO_ROOT_SV_POWER",2000,2000,"absolute","ALL_CONFIGURED_INTERVALS","K3","across_interval_joint_band_covers_truth_on_grid",245,254,0.964566929133858,0.0115998860222368,0.934042581122305,0.981248548083247
