"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","successes","denominator","estimate","mcse","wilson_lower","wilson_upper"
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","exact_count_certified",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","simplicity_certified",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","exact_count_statement_true",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","false_exact_count_report",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","bracket_covers_root",8,8,1,0,0.67559243511612,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","brackets_cover_all_distinct_roots",8,8,1,0,0.67559243511612,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","false_bracket_report",0,254,0,0,0,0.0148985304313125
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","outer_band_contains_root",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","outer_set_covers_truth",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","numerical_outer_contains_root",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","numerical_outer_contains_all_roots",244,254,0.960629921259842,0.01220237417846,0.92905769352091,0.978476731199849
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","false_outer_report",10,254,0.0393700787401575,0.01220237417846,0.0215232688001508,0.0709423064790899
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_localization_applicable",254,254,1,0,0.985101469568688,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_local_outer_nonempty",252,254,0.992125984251969,0.00554580625551822,0.97175006229649,0.997837998302612
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_outer_nonempty",252,254,0.992125984251969,0.00554580625551822,0.97175006229649,0.997837998302612
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_touches_left_boundary",235,254,0.925196850393701,0.0165066961377188,0.886132515721365,0.951591568636259
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_touches_right_boundary",240,254,0.94488188976378,0.0143192101792767,0.909620805893771,0.966886800887817
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_censored_by_window",242,254,0.952755905511811,0.0133121355481043,0.919250194307301,0.972770821443873
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_geometry_applicable",254,254,1,0,0.985101469568688,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_geometry_conditioned_on_continuum_band_coverage",240,254,0.94488188976378,0.0143192101792767,0.909620805893771,0.966886800887817
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_nonempty_conditional_on_continuum_band_coverage",240,240,1,0,0.984246080058441,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_contains_root_conditional_on_continuum_band_coverage",240,240,1,0,0.984246080058441,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_touches_K_left_conditional_on_continuum_band_coverage",157,240,0.654166666666667,0.0307023776826872,0.591988882058146,0.711486992626539
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_touches_K_right_conditional_on_continuum_band_coverage",0,240,0,0,1.73472347597681e-18,0.0157539199415588
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_global_outer_touches_K_boundary_conditional_on_continuum_band_coverage",157,240,0.654166666666667,0.0307023776826872,0.591988882058146,0.711486992626539
