"study_id","contrast_id","pairing_key","cell_class","scenario_id","n_x","n_y","moment_type","interval_id","reference_variant_id","comparison_variant_id","reference_cell_id","comparison_cell_id","reference_level","comparison_level","shallow_side","deep_side","shallow_level","deep_level","paired_replications","subset_checks","subset_failures","root_retention_checks","root_losses_under_continuum_coverage","length_bound_checks","length_bound_failures","maximum_length_bound_excess","minimum_length_reduction","decision_comparisons","decision_disagreements","decision_disagreement_replications","decision_disagreement_detail"
"enclosure_depth_v001","depth8_refined_minus_depth6_reference","ED1_TANGENCY_SV_POWER_n2000","diagnostic","TANGENCY_SV_POWER",2000,2000,"absolute","K1","depth6_reference","depth8_refined","ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","ED1_002_TANGENCY_SV_POWER_n2000_depth8_refined",6,8,"reference","comparison",6,8,254,254,0,240,0,254,0,5.55111512312578e-17,0,508,0,0,"reversal_certified=0/254;exact_count_certified=0/254;root_isolation_success=0/0;wald_reported=0/0;wald_conditional_cover=0/0;wald_report_and_cover=0/0;root_multiplier_reported=0/0;root_multiplier_conditional_cover=0/0;root_multiplier_report_and_cover=0/0"
"enclosure_depth_v001","depth8_refined_minus_depth6_reference","ED1_TANGENCY_SV_POWER_n4000","diagnostic","TANGENCY_SV_POWER",4000,4000,"absolute","K1","depth6_reference","depth8_refined","ED1_003_TANGENCY_SV_POWER_n4000_depth6_reference","ED1_004_TANGENCY_SV_POWER_n4000_depth8_refined",6,8,"reference","comparison",6,8,254,254,0,243,0,254,0,1.11022302462516e-16,0,508,0,0,"reversal_certified=0/254;exact_count_certified=0/254;root_isolation_success=0/0;wald_reported=0/0;wald_conditional_cover=0/0;wald_report_and_cover=0/0;root_multiplier_reported=0/0;root_multiplier_conditional_cover=0/0;root_multiplier_report_and_cover=0/0"
"enclosure_depth_v001","depth8_refined_minus_depth6_reference","ED1_TANGENCY_SV_POWER_n8000","diagnostic","TANGENCY_SV_POWER",8000,8000,"absolute","K1","depth6_reference","depth8_refined","ED1_005_TANGENCY_SV_POWER_n8000_depth6_reference","ED1_006_TANGENCY_SV_POWER_n8000_depth8_refined",6,8,"reference","comparison",6,8,254,254,0,240,0,254,0,1.11022302462516e-16,0,508,0,0,"reversal_certified=0/254;exact_count_certified=0/254;root_isolation_success=0/0;wald_reported=0/0;wald_conditional_cover=0/0;wald_report_and_cover=0/0;root_multiplier_reported=0/0;root_multiplier_conditional_cover=0/0;root_multiplier_report_and_cover=0/0"
"enclosure_depth_v001","depth8_refined_minus_depth6_reference","ED1_TWO_ROOT_SV_POWER_n2000","diagnostic","TWO_ROOT_SV_POWER",2000,2000,"absolute","K3","depth6_reference","depth8_refined","ED1_007_TWO_ROOT_SV_POWER_n2000_depth6_reference","ED1_008_TWO_ROOT_SV_POWER_n2000_depth8_refined",6,8,"reference","comparison",6,8,254,254,0,245,0,254,0,2.22044604925031e-16,0,2254,0,0,"reversal_certified=0/254;exact_count_certified=0/254;root_isolation_success=0/254;wald_reported=0/254;wald_conditional_cover=0/238;wald_report_and_cover=0/254;root_multiplier_reported=0/254;root_multiplier_conditional_cover=0/238;root_multiplier_report_and_cover=0/254"
"enclosure_depth_v001","depth8_refined_minus_depth6_reference","ED1_TWO_ROOT_SV_POWER_n4000","diagnostic","TWO_ROOT_SV_POWER",4000,4000,"absolute","K3","depth6_reference","depth8_refined","ED1_009_TWO_ROOT_SV_POWER_n4000_depth6_reference","ED1_010_TWO_ROOT_SV_POWER_n4000_depth8_refined",6,8,"reference","comparison",6,8,254,254,0,242,0,254,0,2.22044604925031e-16,0,2280,0,0,"reversal_certified=0/254;exact_count_certified=0/254;root_isolation_success=0/254;wald_reported=0/254;wald_conditional_cover=0/251;wald_report_and_cover=0/254;root_multiplier_reported=0/254;root_multiplier_conditional_cover=0/251;root_multiplier_report_and_cover=0/254"
"enclosure_depth_v001","depth8_refined_minus_depth6_reference","ED1_TWO_ROOT_SV_POWER_n8000","diagnostic","TWO_ROOT_SV_POWER",8000,8000,"absolute","K3","depth6_reference","depth8_refined","ED1_011_TWO_ROOT_SV_POWER_n8000_depth6_reference","ED1_012_TWO_ROOT_SV_POWER_n8000_depth8_refined",6,8,"reference","comparison",6,8,254,254,0,244,0,254,0,0,0,2284,0,0,"reversal_certified=0/254;exact_count_certified=0/254;root_isolation_success=0/254;wald_reported=0/254;wald_conditional_cover=0/253;wald_report_and_cover=0/254;root_multiplier_reported=0/254;root_multiplier_conditional_cover=0/253;root_multiplier_report_and_cover=0/254"
