"cell_id","cell_class","variant_id","scenario_id","n_x","n_y","moment_type","interval_id","metric","rows","finite","missing","positive_infinite","negative_infinite","mean","sd","q05","q50","q95"
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_depth_limit_width_proportion",254,254,0,0,0,0.000174212598425192,0.00038334787138163,0,0,0.000854687500000022
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_depth_limit_maximum_cell_width",254,254,0,0,0,1.33796751968699e-05,1.85738005498723e-05,0,0,3.90625000001865e-05
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_node_limit_cells",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_node_limit_total_width",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_node_limit_width_proportion",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_node_limit_maximum_cell_width",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_variance_limit_cells",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_variance_limit_total_width",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_variance_limit_width_proportion",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_variance_limit_maximum_cell_width",254,254,0,0,0,0,0,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_statistical_limit_cells",254,254,0,0,0,5.5748031496063,12.2671318842121,0,0,27.35
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_statistical_limit_total_width",254,254,0,0,0,0.00021776574803149,0.000479184839227037,0,0,0.00106835937500003
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_statistical_limit_width_proportion",254,254,0,0,0,0.000174212598425192,0.00038334787138163,0,0,0.000854687500000022
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","enclosure_statistical_limit_maximum_cell_width",254,254,0,0,0,1.33796751968699e-05,1.85738005498723e-05,0,0,3.90625000001865e-05
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","certified_alternation_count",254,254,0,0,0,0.031496062992126,0.174998944051732,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","bracket_count",254,254,0,0,0,0.031496062992126,0.174998944051732,0,0,0
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","bracket_length",254,8,246,0,0,0.86375,0.070089228844381,0.78675,0.8625,0.95725
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","numerical_outer_component_count",254,254,0,0,0,1.02362204724409,0.197396770605789,1,1,1
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","numerical_outer_total_length",254,254,0,0,0,0.77736343503937,0.165019394089611,0.486951171875,0.803359375,0.9875
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","numerical_outer_retained_proportion",254,254,0,0,0,0.621890748031496,0.132015515271689,0.3895609375,0.6426875,0.79
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","numerical_outer_hausdorff",254,252,0,2,0,0.465635075644841,0.121481858168015,0.280939453125,0.4625,0.6675
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_local_outer_total_length",254,254,0,0,0,0.481004705954724,0.0753433858125465,0.37040625,0.5,0.5
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_scaled_outer_radius",254,240,14,0,0,1.4003250877087,0.0378684161300733,1.40585331297587,1.40585331297587,1.40585331297587
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_scaled_outer_hausdorff",254,240,12,2,0,1.4003250877087,0.0378684161300733,1.40585331297587,1.40585331297587,1.40585331297587
"ED1_001_TANGENCY_SV_POWER_n2000_depth6_reference","diagnostic","depth6_reference","TANGENCY_SV_POWER",2000,2000,"absolute","K1","tangency_truncated_local_outer_total_length",254,254,0,0,0,0.481004705954724,0.0753433858125465,0.37040625,0.5,0.5
