"order","delta_hat","variance_hat","standard_error","critical_value","half_width","lower","upper","studentized","sign_status"
0.25,0.0203703804373072,0.0877620398536079,0.00287020089315294,2.22823852982312,0.0063954922184561,0.0139748882188511,0.0267658726557634,7.09719674532267,"positive"
0.25125,0.0204852279407625,0.0888076922915581,0.00288724895734838,2.22823852982312,0.00643347937195528,0.0140517485688072,0.0269187073127177,7.09506808847405,"positive"
0.2525,0.0206007525067973,0.0898662324142502,0.00290440521594983,2.22823852982312,0.00647170760839865,0.0141290448983987,0.027072460115196,7.09293331166954,"positive"
0.25375,0.020716958296034,0.0909378239455675,0.00292167039305985,2.22823852982312,0.00651017854125941,0.0142067797547746,0.0272271368372934,7.09079242656706,"positive"
0.255,0.0208338494956099,0.0920226327449546,0.00293904521781355,2.22823852982312,0.00654889379522453,0.0142849557003854,0.0273827432908345,7.08864544490026,"positive"
0.25625,0.0209514303193524,0.0931208268359114,0.00295653042441451,2.22823852982312,0.00658785500627471,0.0143635753130777,0.0275392853256271,7.08649237847821,"positive"
0.2575,0.0210697050079536,0.0942325764348733,0.00297412675217084,2.22823852982312,0.00662706382176477,0.0144426411861889,0.0276967688297184,7.08433323918513,"positive"
0.25875,0.0211886778291476,0.0953580539804846,0.00299183494553161,2.22823852982312,0.00666652190050479,0.0145221559286428,0.0278551997296524,7.08216803898006,"positive"
0.26,0.0213083530778877,0.0964974341632709,0.00300965575412345,2.22823852982312,0.00670623091284173,0.0146021221650459,0.0280145839907294,7.07999678989653,"positive"
0.26125,0.0214287350765254,0.0976508939557144,0.00302758993278749,2.22823852982312,0.00674619254074167,0.0146825425357838,0.0281749276172671,7.0778195040423,"positive"
0.2625,0.0215498281749911,0.0988186126427392,0.00304563824161652,2.22823852982312,0.00678640847787265,0.0147634196971185,0.0283362366528638,7.07563619359903,"positive"
0.26375,0.0216716367509748,0.100000771852611,0.00306380144599243,2.22823852982312,0.00682688042968811,0.0148447563212867,0.028498517180663,7.07344687082193,"positive"
0.265,0.0217941652101092,0.101197555588261,0.00308208031662395,2.22823852982312,0.00686761011351092,0.0149265550965983,0.0286617753236201,7.07125154803951,"positive"
0.26625,0.0219174179861531,0.102409150259027,0.00310047562958462,2.22823852982312,0.00690859925861803,0.015008818727535,0.0288260172447711,7.0690502376532,"positive"
0.2675,0.0220413995411768,0.103635744712842,0.00311898816635105,2.22823852982312,0.00694984960632578,0.015091549934851,0.0289912491475026,7.06684295213705,"positive"
0.26875,0.0221661143657484,0.104877530268849,0.00313761871384151,2.22823852982312,0.00699136291007571,0.0151747514556727,0.0291574772758241,7.06462970403742,"positive"
0.27,0.0222915669791212,0.106134700750461,0.00315636806445468,2.22823852982312,0.00703314093552113,0.0152584260436001,0.0293247079146424,7.06241050597264,"positive"
0.27125,0.0224177619294227,0.107407452518882,0.0031752370161088,2.22823852982312,0.00707518546061422,0.0153425764688085,0.029492947390037,7.06018537063269,"positive"
0.2725,0.0225447037938446,0.108695984507075,0.00319422637228107,2.22823852982312,0.00711749827569379,0.0154272055181508,0.0296622020695384,7.05795431077883,"positive"
0.27375,0.0226723971788341,0.110000498254197,0.00321333694204727,2.22823852982312,0.00716008118357373,0.0155123159952604,0.0298324783624079,7.05571733924335,"positive"
0.275,0.0228008467202871,0.1113211979405,0.00323256954012179,2.22823852982312,0.00720293599963197,0.0155979107206551,0.030003782719919,7.05347446892914,"positive"
0.27625,0.0229300570837413,0.11265829042272,0.00325192498689781,2.22823852982312,0.00724606455190024,0.0156839925318411,0.0301761216356416,7.05122571280943,"positive"
0.2775,0.0230600329645725,0.114011985269933,0.00327140410848791,2.22823852982312,0.0072894686811544,0.0157705642834181,0.0303495016457269,7.0489710839274,"positive"
0.27875,0.0231907790881905,0.11538249479991,0.00329100773676484,2.22823852982312,0.00733315024100539,0.0158576288471851,0.0305239293291959,7.04671059539585,"positive"
0.28,0.0233223002102373,0.11677003411597,0.00331073670940272,2.22823852982312,0.00737711109799095,0.0159451891122463,0.0306994113082282,7.04444426039688,"positive"
0.28125,0.0234546011167862,0.11817482114433,0.00333059186991843,2.22823852982312,0.00742135313166787,0.0160332479851184,0.0308759542484541,7.04217209218152,"positive"
0.2825,0.023587686624543,0.119597076671967,0.00335057406771335,2.22823852982312,0.00746587823470505,0.0161218083898379,0.031053564859248,7.03989410406938,"positive"
0.28375,0.023721561581047,0.121037024385001,0.0033706841581154,2.22823852982312,0.00751068831297712,0.0162108732680699,0.0312322498940241,7.03761030944831,"positive"
0.285,0.0238562308648754,0.122494890907601,0.00339092300242137,2.22823852982312,0.00755578528565879,0.0163004455792166,0.0314120161505342,7.03532072177406,"positive"
0.28625,0.0239916993858472,0.123970905841417,0.00341129146793961,2.22823852982312,0.00760117108531989,0.0163905283005273,0.0315928704711671,7.0330253545699,"positive"
0.2875,0.0241279720852298,0.12546530180556,0.00343179042803291,2.22823852982312,0.0076468476580211,0.0164811244272087,0.0317748197432509,7.03072422142626,"positive"
0.28875,0.0242650539359462,0.126978314477127,0.00345242076216186,2.22823852982312,0.00769281696341035,0.0165722369725358,0.0319578708993565,7.02841733600041,"positive"
0.29,0.024402949942784,0.128510182632268,0.00347318335592836,2.22823852982312,0.00773908097481992,0.0166638689679641,0.0321420309176039,7.02610471201606,"positive"
0.29125,0.0245416651426059,0.130061148187838,0.00349407910111955,2.22823852982312,0.00778564167936431,0.0167560234632415,0.0323273068219702,7.02378636326303,"positive"
0.2925,0.024681204604561,0.131631456243594,0.00351510889575205,2.22823852982312,0.00783250107803872,0.0168487035265222,0.0325137056825997,7.02146230359684,"positive"
0.29375,0.0248215734302983,0.133221355124989,0.00353627364411646,2.22823852982312,0.0078796611858183,0.01694191224448,0.0327012346161166,7.01913254693841,"positive"
0.295,0.0249627767541814,0.134831096426542,0.00355757425682225,2.22823852982312,0.00792712403175818,0.0170356527224233,0.0328899007859396,7.01679710727362,"positive"
0.29625,0.0251048197435042,0.136460935055801,0.00357901165084294,2.22823852982312,0.00797489165909407,0.0171299280844101,0.0330797114025982,7.01445599865299,"positive"
0.2975,0.0252477075987084,0.138111129277914,0.00360058674956161,2.22823852982312,0.00802296612534376,0.0172247414733646,0.0332706737240522,7.0121092351913,"positive"
0.29875,0.025391445553603,0.139781940760809,0.00362230048281679,2.22823852982312,0.00807134950240925,0.0173200960511937,0.0334627950560122,7.00975683106719,"positive"
0.3,0.0255360388755842,0.141473634620987,0.00364415378694858,2.22823852982312,0.00812004387667965,0.0174159949989046,0.0336560827522639,7.00739880052283,"positive"
0.30125,0.0256814928658578,0.14318647946995,0.00366614760484522,2.22823852982312,0.00816905134913485,0.0175124415167229,0.0338505442149926,7.00503515786349,"positive"
0.3025,0.0258278128596622,0.144920747461261,0.00368828288598991,2.22823852982312,0.00821837403544991,0.0176094388242123,0.0340461868951121,7.00266591745719,"positive"
0.30375,0.0259750042264938,0.146676714338253,0.00371056058650802,2.22823852982312,0.00826801406610024,0.0177069901603935,0.034243018292594,7.00029109373433,"positive"
0.305,0.0261230723703333,0.148454659482386,0.00373298166921466,2.22823852982312,0.00831797358646751,0.0178050987838657,0.0344410459568008,6.99791070118729,"positive"
0.30625,0.0262720227298736,0.150254865962275,0.00375554710366249,2.22823852982312,0.00836825475694638,0.0179037679729273,0.03464027748682,6.99552475437003,"positive"
0.3075,0.0264218607787499,0.152077620583383,0.00377825786619004,2.22823852982312,0.00841885975305191,0.018003001025698,0.0348407205318018,6.99313326789775,"positive"
0.30875,0.02657259202577,0.153923213938401,0.00380111493997021,2.22823852982312,0.00846979076552792,0.0181028012602421,0.0350423827912979,6.99073625644644,"positive"
0.31,0.0267242220151478,0.155791940458319,0.0038241193150593,2.22823852982312,0.00852105000045591,0.0182031720146919,0.0352452720156037,6.98833373475257,"positive"
0.31125,0.0268767563267369,0.157684098464192,0.00384727198844619,2.22823852982312,0.00857263967936501,0.0183041166473719,0.0354493960061019,6.98592571761261,"positive"
0.3125,0.027030200576267,0.159599990219628,0.00387057396410212,2.22823852982312,0.00862456203934253,0.0184056385369245,0.0356547626156095,6.98351221988271,"positive"
0.31375,0.0271845604155811,0.161539921983985,0.00389402625303057,2.22823852982312,0.00867681933314546,0.0185077410824356,0.0358613797487265,6.98109325647827,"positive"
0.315,0.0273398415328745,0.163504204066307,0.00391762987331776,2.22823852982312,0.00872941382931268,0.0186104277035618,0.0360692553621871,6.97866884237355,"positive"
0.31625,0.0274960496529355,0.165493150879994,0.00394138585018329,2.22823852982312,0.00878234781227804,0.0187137018406575,0.0362783974652136,6.97623899260126,"positive"
0.3175,0.027653190537388,0.167507080998233,0.00396529521603131,2.22823852982312,0.00883562358248425,0.0188175669549038,0.0364888141198723,6.97380372225221,"positive"
0.31875,0.0278112699849351,0.169546317210177,0.00398935901050201,2.22823852982312,0.00888924345649761,0.0189220265284375,0.0367005134414328,6.97136304647483,"positive"
0.32,0.0279702938316049,0.171611186577912,0.00401357828052344,2.22823852982312,0.00894320976712354,0.0190270840644813,0.0369135035987284,6.96891698047486,"positive"
0.32125,0.0281302679509975,0.173702020494191,0.00403795408036375,2.22823852982312,0.00899752486352299,0.0191327430874745,0.0371277928145205,6.96646553951486,"positive"
