"order","moment_x","moment_y","delta_hat","variance_hat","standard_error","critical_value","half_width","lower","upper","studentized","sign_status"
0.25,0.0176038485852961,0.0379742290226034,0.0203703804373072,0.0877620398536079,0.00287020089315294,2.22823852982312,0.0063954922184561,0.0139748882188511,0.0267658726557634,7.09719674532267,"positive"
0.255,0.0180111278310026,0.0388449773266125,0.0208338494956099,0.0920226327449546,0.00293904521781355,2.22823852982312,0.00654889379522453,0.0142849557003854,0.0273827432908345,7.08864544490026,"positive"
0.26,0.0184281299732406,0.0397364830511283,0.0213083530778877,0.0964974341632709,0.00300965575412345,2.22823852982312,0.00670623091284173,0.0146021221650459,0.0280145839907294,7.07999678989653,"positive"
0.265,0.0188550940173486,0.0406492592274578,0.0217941652101092,0.101197555588261,0.00308208031662395,2.22823852982312,0.00686761011351092,0.0149265550965983,0.0286617753236201,7.07125154803951,"positive"
0.27,0.0192922650033251,0.0415838319824463,0.0222915669791212,0.106134700750461,0.00315636806445468,2.22823852982312,0.00703314093552113,0.0152584260436001,0.0293247079146424,7.06241050597264,"positive"
0.275,0.0197398941619294,0.0425407408822165,0.0228008467202871,0.1113211979405,0.00323256954012179,2.22823852982312,0.00720293599963197,0.0155979107206551,0.030003782719919,7.05347446892914,"positive"
0.28,0.0201982390749087,0.043520539285146,0.0233223002102373,0.11677003411597,0.00331073670940272,2.22823852982312,0.00737711109799095,0.0159451891122463,0.0306994113082282,7.04444426039688,"positive"
0.285,0.0206675638394623,0.0445237947043377,0.0238562308648754,0.122494890907601,0.00339092300242137,2.22823852982312,0.00755578528565879,0.0163004455792166,0.0314120161505342,7.03532072177406,"positive"
0.29,0.0211481392370578,0.0455510891798418,0.024402949942784,0.128510182632268,0.00347318335592836,2.22823852982312,0.00773908097481992,0.0166638689679641,0.0321420309176039,7.02610471201606,"positive"
0.295,0.0216402429067169,0.0466030196608983,0.0249627767541814,0.134831096426542,0.00355757425682225,2.22823852982312,0.00792712403175818,0.0170356527224233,0.0328899007859396,7.01679710727362,"positive"
0.3,0.0221441595228899,0.0476801983984741,0.0255360388755842,0.141473634620987,0.00364415378694858,2.22823852982312,0.00812004387667965,0.0174159949989046,0.0336560827522639,7.00739880052283,"positive"
0.305,0.0226601809780449,0.0487832533483782,0.0261230723703333,0.148454659482386,0.00373298166921466,2.22823852982312,0.00831797358646751,0.0178050987838657,0.0344410459568008,6.99791070118729,"positive"
0.31,0.0231886065700974,0.0499128285852452,0.0267242220151478,0.155791940458319,0.0038241193150593,2.22823852982312,0.00852105000045591,0.0182031720146919,0.0352452720156037,6.98833373475257,"positive"
0.315,0.0237297431948118,0.0510695847276863,0.0273398415328745,0.163504204066307,0.00391762987331776,2.22823852982312,0.00872941382931268,0.0186104277035618,0.0360692553621871,6.97866884237355,"positive"
0.32,0.0242839055433092,0.0522541993749141,0.0279702938316049,0.171611186577912,0.00401357828052344,2.22823852982312,0.00894320976712354,0.0190270840644813,0.0369135035987284,6.96891698047486,"positive"
0.325,0.0248514163048192,0.0534673675551577,0.0286159512503384,0.180133689656828,0.00411203131268904,2.22823852982312,0.00916258660677285,0.0194533646435656,0.0377785378571113,6.95907912034483,"positive"
0.33,0.0254326063748183,0.054709802186192,0.0292771958113737,0.189093639119207,0.00421305763861126,2.22823852982312,0.0093876973587192,0.0198894984526545,0.0386648931700929,6.94915624772328,"positive"
0.335,0.0260278150686999,0.0559822345483158,0.0299544194796158,0.198514146994138,0.0043167278747444,2.22823852982312,0.00961869937326694,0.0203357201063489,0.0395731188528828,6.93914936238353,"positive"
0.34,0.0266373903411264,0.0572854147701195,0.0306480244289931,0.208419577072494,0.00442311464168964,2.22823852982312,0.00985575446643763,0.0207922699625555,0.0405037788954307,6.92905947770901,"positive"
0.345,0.0272616890112168,0.058620112327398,0.0313584233161813,0.21883561414322,0.00453229262234801,2.22823852982312,0.0100990290495489,0.0212593942666323,0.0414574523657302,6.91888762026482,"positive"
0.35,0.0279010769937282,0.059987116555568,0.0320860395618398,0.229789337127654,0.00464433862178681,2.22823852982312,0.010348694262611,0.0217373452992288,0.0424347338244507,6.90863482936466,"positive"
0.355,0.0285559295363943,0.0613872371759644,0.0328313076395701,0.241309296334639,0.00475933162887039,2.22823852982312,0.0106049261116548,0.0222263815279153,0.0434362337512249,6.89830215663339,"positive"
0.36,0.0292266314635865,0.0628213048363982,0.0335946733728117,0.253425595072102,0.00487735287970809,2.22823852982312,0.0108679056101093,0.0227267677627024,0.044462578982921,6.88789066556578,"positive"
0.365,0.0299135774264709,0.0642901716663691,0.0343765942398982,0.266169975864396,0.00499848592297331,2.22823852982312,0.0111378189243476,0.0232387753155506,0.0455144131642458,6.87740143108166,"positive"
0.37,0.0306171721598365,0.0657947118473383,0.0351775396875018,0.279575911539167,0.00512281668714981,2.22823852982312,0.011414857523528,0.0237626821639738,0.0465923972110298,6.86683553907793,"positive"
0.375,0.0313378307457757,0.0673358221984765,0.0359979914527008,0.293678701462787,0.00525043354976246,2.22823852982312,0.0116992183338567,0.0242987731188441,0.0476972097865575,6.85619408597779,"positive"
0.38,0.0320759788844045,0.0689144227783167,0.0368384438939122,0.308515573219598,0.00538142740865202,2.22823852982312,0.0119911038974046,0.0248473399965076,0.0488295477913168,6.84547817827757,"positive"
0.385,0.0328320531718123,0.0705314575027493,0.037699404330937,0.324125790047338,0.00551589175535459,2.22823852982312,0.0122907225356148,0.0254086817953222,0.0499901268665517,6.83468893209154,"positive"
